name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
VS1 Fashion Mode Ethnic Sandals Footwear Embroidered Valvate Wedges for Women & Girl's,women's shoes,Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51LCL+YK9KL._AC_UL320_.jpg,https://www.amazon.in/VS1-Fashion-Mode-Footwear-Embroidered/dp/B09VDWJVZF/ref=sr_1_2255?qid=1679211513&s=shoes&sr=1-2255,4.3,4,₹199,₹599
BATA Womens Stretch Sneaker,women's shoes,Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/8110tJnTwNL._AC_UL320_.jpg,https://www.amazon.in/BATA-Womens-Stretch-Sneaker-5894336/dp/B09NKSRPTR/ref=sr_1_2256?qid=1679211513&s=shoes&sr=1-2256,4.2,203,₹766,₹852
Bureaucrat Women Flat Loafer Moccasins Shoes Comfortable Girl Loafers Casual Office Footwear Lightweight Slip-on Ballet Wo...,women's shoes,Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71umXmeo6NL._AC_UL320_.jpg,https://www.amazon.in/Bureaucrat-Moccasins-Comfortable-Lightweight-Ballerinas/dp/B0BR5JFW8K/ref=sr_1_2689?qid=1679211517&s=shoes&sr=1-2689,1.0,1,₹699,"₹1,499"
MIRAYA Indian Handicraft Synthetic Multi-Color Women's Jutti ||Girls Casual Flat/Jutti's || Indian Punjabi Jutti's || Moja...,women's shoes,Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81flY6+F2qL._AC_UL320_.jpg,https://www.amazon.in/Handicraft-Synthetic-Multi-Color-Punjabi-Numeric_7/dp/B09ZJ79RN8/ref=sr_1_2690?qid=1679211517&s=shoes&sr=1-2690,4.4,3,₹467,₹799
BATA Women's Sally Tr Slipper,women's shoes,Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71YS+Y0DUfL._AC_UL320_.jpg,https://www.amazon.in/Bata-Womens-SALLY-Blue-Slipper/dp/B09W5Y2G1N/ref=sr_1_2691?qid=1679211517&s=shoes&sr=1-2691,3.7,35,₹367.74,₹599
Madam Glorious women's/girls casual wedges sandal,women's shoes,Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81ReKG2k3pL._AC_UL320_.jpg,https://www.amazon.in/Glorious-womens-wedges-sandal-sandals/dp/B08ZHXGWZ8/ref=sr_1_2692?qid=1679211517&s=shoes&sr=1-2692,3.3,915,₹475,"₹1,099"
DRUNKEN Slipper For Women's Fashion Slides Flip Flops Open Toe Non Slip Outdoor,women's shoes,Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51XXyZuvCpL._AC_UL320_.jpg,https://www.amazon.in/DRUNKEN-Slipper-Womens-Fashion-Outdoor/dp/B09LDBGW3N/ref=sr_1_2693?qid=1679211517&s=shoes&sr=1-2693,3.4,30,₹249.50,₹999
Walkaroo womens W26133 Flip-Flops,women's shoes,Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61REv98yjoL._AC_UL320_.jpg,https://www.amazon.in/Walkaroo-Womens-Brown-Flip-Flops-8-W26133/dp/B085WRH5KK/ref=sr_1_2694?qid=1679211517&s=shoes&sr=1-2694,3.8,136,₹255,₹269
Anndy Verse Casual Loafers Moccasins Shoes for Women and Outdoor Use College Girl Footwear,women's shoes,Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51UvrU2NOkL._AC_UL320_.jpg,https://www.amazon.in/Anndy-Verse-Loafers-Moccasins-Footwear/dp/B0BSH4PG2J/ref=sr_1_2695?qid=1679211517&s=shoes&sr=1-2695,,,₹469,₹999
Puma Women's Blush Slipper,women's shoes,Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51GjmkH2OwL._AC_UL320_.jpg,https://www.amazon.in/Puma-Womens-Pink-Rose-Quartz-Pristine-Slipper/dp/B0BLNRD2DH/ref=sr_1_2696?qid=1679211517&s=shoes&sr=1-2696,3.3,3,₹929,"₹1,499"
DEEANNE LONDON WOMEN'S DN-139 T-SHAPE TRANSPARENT ROUND HEEL,women's shoes,Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61+wz2nwqDL._AC_UL320_.jpg,https://www.amazon.in/DEEANNE-LONDON-DN-139-T-SHAPE-TRANSPARENT/dp/B09B2J383J/ref=sr_1_2697?qid=1679211517&s=shoes&sr=1-2697,3.7,96,₹799,₹999
Inc.5 Platform Heel Casual Sandals For Women's,women's shoes,Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/417LLtVpjrL._AC_UL320_.jpg,https://www.amazon.in/Inc-5-Shoes-Women-Platform-300447_PEACH/dp/B09NSW3CJM/ref=sr_1_2698?qid=1679211517&s=shoes&sr=1-2698,4.6,3,,"₹2,290"
AaoJao Women's Slippers Indoor House or Outdoor Latest Fashion Casual FlipFlop Slipper For Women and Girls [958 Tricolour],women's shoes,Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61sjfAVOeBS._AC_UL320_.jpg,https://www.amazon.in/AaoJao-Slippers-Outdoor-Fashion-FlipFlop/dp/B09C342HVZ/ref=sr_1_2699?qid=1679211517&s=shoes&sr=1-2699,,,₹329,₹999
Mochi Womens 31-4801 Pump,women's shoes,Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71r1UlZavnL._AC_UL320_.jpg,https://www.amazon.in/Mochi-Womens-Black-Pump-31-4801/dp/B095CH99ZQ/ref=sr_1_2700?qid=1679211517&s=shoes&sr=1-2700,3.4,19,"₹1,294","₹1,990"
Skechers Womens Go Walk Joy-Paradise Walking Shoes,women's shoes,Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71f4jPVhfeL._AC_UL320_.jpg,https://www.amazon.in/Skechers-Womens-Gowalk-Athletic-Shoes/dp/B082YHVM5F/ref=sr_1_2701?qid=1679211517&s=shoes&sr=1-2701,4.4,63,"₹2,796.34","₹5,499"
Style Buy Style Women's Synthetic Casual & Party Bellies | Women's Ballet Flat,women's shoes,Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61pHsR1S05L._AC_UL320_.jpg,https://www.amazon.in/Style-Buy-Womens-Synthetic-Bellies/dp/B0BXX48X31/ref=sr_1_2702?qid=1679211517&s=shoes&sr=1-2702,,,,
Sixth Street Womens Women Casual Bellies Ballet Flat,women's shoes,Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61QCqu8K-SL._AC_UL320_.jpg,https://www.amazon.in/Sixth-Street-Comfortable-Lightweight-Flats-Black/dp/B0B7X636XF/ref=sr_1_2703?qid=1679211517&s=shoes&sr=1-2703,3.6,3,₹599,"₹1,999"
GNIST Cute bow knot Black Wedge-Parent,women's shoes,Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/41Pqxub5hzL._AC_UL320_.jpg,https://www.amazon.in/GNIST-Womens-Cute-Black-Wedge/dp/B08FTGRG6N/ref=sr_1_2704?qid=1679211517&s=shoes&sr=1-2704,4.1,7,₹849,"₹1,999"
Red Tape Women's Walking Shoes,women's shoes,Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71md5hlRKyL._AC_UL320_.jpg,https://www.amazon.in/Red-Tape-Women-Walking-RLO0671A/dp/B09N77V9RL/ref=sr_1_2705?qid=1679211517&s=shoes&sr=1-2705,4.0,122,"₹1,120","₹5,599"
Feetway Extra Soft Pain Relief Fancy Shinning Doctor Casual New Model Ortho Soft Ladies Chappal Women Flat Designer Slippe...,women's shoes,Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71zjsBA99gL._AC_UL320_.jpg,https://www.amazon.in/Feetway-Shinning-Designer-Slippers-numeric_7/dp/B09BM9BDDM/ref=sr_1_2706?qid=1679211517&s=shoes&sr=1-2706,3.8,103,₹479,₹899
BATA Comfit Women Corrine Mule Grey Heels,women's shoes,Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51CaSWFxfbL._AC_UL320_.jpg,https://www.amazon.in/BATA-Womens-Corrine-Mule-Casual-6/dp/B09QQM5S8G/ref=sr_1_2707?qid=1679211517&s=shoes&sr=1-2707,4.1,125,"₹1,799","₹1,999"
Mochi Women's Synthetic Sandals (33-1471),women's shoes,Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/711QqGIK+sL._AC_UL320_.jpg,https://www.amazon.in/Mochi-Womens-Synthetic-Sandals-33-1471/dp/B09QLGLDM9/ref=sr_1_2708?qid=1679211517&s=shoes&sr=1-2708,4.6,5,,"₹2,290"
xylus Women's Mesh Lace-Ups Running/Sports/Gym Shoes,women's shoes,Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71hiZfBvfzL._AC_UL320_.jpg,https://www.amazon.in/xylus-Womens-Lace-Ups-Running-Sports/dp/B09H2MP2XK/ref=sr_1_2709?qid=1679211517&s=shoes&sr=1-2709,3.4,45,₹649,₹999
BATA Womens URSULE Yellow Sneaker - 6 UK (5518993),women's shoes,Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/619Ax93b83S._AC_UL320_.jpg,https://www.amazon.in/BATA-Womens-URSULE-Ballet-5518993/dp/B097C7RCW4/ref=sr_1_2710?qid=1679211517&s=shoes&sr=1-2710,3.4,27,₹789,"₹1,066"
Qualtos Yellow Smiley Warm Shoes Pikachu Emoji Indoor Bedroom Slipper Free Size Funny Soft Plush for Adults Kids Teens Poo...,women's shoes,Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71zNkzwfkqL._AC_UL320_.jpg,https://www.amazon.in/Qualtos-Emoji-Non-Skid-Footpads-Innocent/dp/B09FZ347PY/ref=sr_1_2711?qid=1679211517&s=shoes&sr=1-2711,4.2,21,₹399,₹999
Sixth Street Womens Women Casual Bellies Ballet Flat,women's shoes,Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61vtRSOznUL._AC_UL320_.jpg,https://www.amazon.in/Sixth-Street-Comfortable-Lightweight-Flats-Wine/dp/B0B7XZZK5J/ref=sr_1_2712?qid=1679211517&s=shoes&sr=1-2712,4.3,38,₹599,"₹1,699"
FASHION RIDE women and girls westren and trendy comfortable sandal with new desing,women's shoes,Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71FLn1VPYfS._AC_UL320_.jpg,https://www.amazon.in/FASHION-westren-trendy-comfortable-sandal/dp/B08T1RB82K/ref=sr_1_2713?qid=1679211517&s=shoes&sr=1-2713,3.5,91,₹327,₹999
Catwalk Women's Bronze Fashion Sandals,women's shoes,Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/712tmgiNOnL._AC_UL320_.jpg,https://www.amazon.in/Catwalk-Womens-Fashion-Sandals-5-3882BX-5/dp/B07JKKWW68/ref=sr_1_2714?qid=1679211517&s=shoes&sr=1-2714,3.6,121,₹899,"₹2,195"
SPOTIC Vegan Leather Elegant Unique Design Trendy Fancy Classy Adjustable Top Handle Daytrip Women Handbag,women's shoes,Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61d+wOeiwCL._AC_UL320_.jpg,https://www.amazon.in/SPOTIC-Leather-Elegant-Adjustable-Daytrip/dp/B0BLK9G8XW/ref=sr_1_2715?qid=1679211517&s=shoes&sr=1-2715,1.0,1,"₹1,099","₹1,699"
RESPIRO Womens Red Women's Pumps Pump,women's shoes,Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71nH4sP7MxL._AC_UL320_.jpg,https://www.amazon.in/RESPIRO-RES-RU-W-06-Womens-Pumps/dp/B0B9NJHD6T/ref=sr_1_2716?qid=1679211517&s=shoes&sr=1-2716,3.3,3,₹909,"₹2,499"
commander shoes High Heel Slip On Belly Shoe for Women and Girls (832),women's shoes,Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/712E1cTwJzL._AC_UL320_.jpg,https://www.amazon.in/commander-shoes-Belly-Women-Girls/dp/B0B1JJSWV1/ref=sr_1_2717?qid=1679211517&s=shoes&sr=1-2717,3.2,61,₹659,"₹1,899"
Do Bhai Women Synthtic Material Back Open Cross Strep Block Heel Fashion Sandal,women's shoes,Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71+pXP83d8L._AC_UL320_.jpg,https://www.amazon.in/Do-Bhai-Synthtic-Material-Fashion/dp/B08YK2FG7B/ref=sr_1_2718?qid=1679211517&s=shoes&sr=1-2718,3.7,56,₹699,₹999
Bersache Chappal for Women | Perfect Flip-Flops Walking Slippers ORI(MM)-1887,women's shoes,Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61LZVFs8TdL._AC_UL320_.jpg,https://www.amazon.in/Bersache-Flip-Flops-Slippers-ORI-MM/dp/B0BR1CRBRK/ref=sr_1_2719?qid=1679211517&s=shoes&sr=1-2719,,,₹299,₹499
"Irsoe Latest Collection, Comfortable & Fashionable Bellies Women's and Girl's",women's shoes,Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81+cHsUxAIL._AC_UL320_.jpg,https://www.amazon.in/Irsoe-Collection-Comfortable-Fashionable-Numeric_5/dp/B09GPP9RGD/ref=sr_1_2720?qid=1679211517&s=shoes&sr=1-2720,3.5,151,₹399,₹499
Amazon Brand - Symbol Womens Pag 10 B Slipper,women's shoes,Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71CByFjVmrL._AC_UL320_.jpg,https://www.amazon.in/Amazon-Brand-Symbol-Slipper-5-SY-AZ-05/dp/B09T3JWR9D/ref=sr_1_2721?qid=1679211517&s=shoes&sr=1-2721,4.3,17,₹332.82,"₹1,299"
Flite Pu Womens Pub033l Ballet Flats,women's shoes,Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71IRVC2bd6L._AC_UL320_.jpg,https://www.amazon.in/Flite-PU-Womens-Flats-8-PUB033L_DPDP0008/dp/B07PHQX6VQ/ref=sr_1_2722?qid=1679211517&s=shoes&sr=1-2722,4.0,373,₹250.89,₹299
Hush Puppies Women's Amber Slipper,women's shoes,Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71vo5F-pfSL._AC_UL320_.jpg,https://www.amazon.in/Hush-Puppies-Womens-Amber-Slippers/dp/B01F4Y2BRG/ref=sr_1_2723?qid=1679211517&s=shoes&sr=1-2723,3.9,"1,512",₹478,₹799
"Shoeshion Women's Suede Leather, Rubber Sole, Block Heel Sandals for Office, Party & Occasions.",women's shoes,Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61ymoO7aRoL._AC_UL320_.jpg,https://www.amazon.in/Shoeshion-Leather-Sandals-Occasions-Numeric_4/dp/B0BR4FWM72/ref=sr_1_2724?qid=1679211517&s=shoes&sr=1-2724,,,₹899,"₹2,399"
Campus womens Camp-spinda Walking Shoe,women's shoes,Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71S1S8FlEgL._AC_UL320_.jpg,https://www.amazon.in/Campus-Womens-Camp-SPINDA-Walking-D-Gry/dp/B0BL7H6F22/ref=sr_1_2725?qid=1679211517&s=shoes&sr=1-2725,3.4,4,₹999,"₹1,119"
Campus Camp Callie Women's Running Shoes,women's shoes,Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61HQxvm0hXL._AC_UL320_.jpg,https://www.amazon.in/Campus-Womens-Callie-Walking-India/dp/B0BFFF88TF/ref=sr_1_2726?qid=1679211517&s=shoes&sr=1-2726,4.1,30,₹899,₹999
Marc Loire Women Comfortable Metallic Loafer Mules Wedges Casual & Formal Footwear,women's shoes,Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/517p4U8yQiL._AC_UL320_.jpg,https://www.amazon.in/Marc-Loire-Comfortable-Metallic-Numeric_5/dp/B09VP87NKF/ref=sr_1_2727?qid=1679211517&s=shoes&sr=1-2727,3.9,69,"₹1,385","₹2,770"
WMK Women's Slippers Indoor House or Outdoor Latest Fashion Casual FlipFlop Slipper For Women and Girls [505 Choti Wedge],women's shoes,Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61f1HLmIhnS._AC_UL320_.jpg,https://www.amazon.in/WMK-Slippers-Outdoor-Fashion-FlipFlop/dp/B095P81T5V/ref=sr_1_2728?qid=1679211517&s=shoes&sr=1-2728,2.5,4,₹329,₹999
Red Tape Women's Sliders,women's shoes,Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51uJMMT7tlL._AC_UL320_.jpg,https://www.amazon.in/Red-Tape-Womens-Sliders-RGS0001/dp/B09KH7N1WN/ref=sr_1_2729?qid=1679211517&s=shoes&sr=1-2729,3.8,13,₹399,"₹1,299"
MICHICK-Black-Solid-Ankle-Strap-Heel-For-Women-attractive-women-heels,women's shoes,Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71CGR2ahV6L._AC_UL320_.jpg,https://www.amazon.in/MICHICK-RT-750-BLUE-37-MICHICK-Black-Solid-Ankle-Strap-Heel-For-Women-attractive-women-heels/dp/B0BX8XK5NC/ref=sr_1_2730?qid=1679211517&s=shoes&sr=1-2730,,,₹349,₹899
Shoetopia Womens/Girls Stilettos Heels Solid Pumps,women's shoes,Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51AVWp4PA7L._AC_UL320_.jpg,https://www.amazon.in/Shoetopia-Womens-Girls-Stilettos-KH-0101/dp/B09NC3P7JM/ref=sr_1_2731?qid=1679211517&s=shoes&sr=1-2731,3.7,39,₹799,₹999
Puma Womens Swift Wns V1 Parisian Night-Sunset Pink Slipper - 6 UK (38881602),women's shoes,Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61UoXn1XOYL._AC_UL320_.jpg,https://www.amazon.in/Puma-Womens-Parisian-Night-Sunset-Slipper/dp/B0B8DN47PS/ref=sr_1_2732?qid=1679211517&s=shoes&sr=1-2732,4.0,1,₹629,₹899
BATA Women's New Palm Sandal Flat,women's shoes,Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51L+g3dtKjL._AC_UL320_.jpg,https://www.amazon.in/BATA-Womens-Sandal-Sandals-5614750/dp/B09W57RG9Z/ref=sr_1_2733?qid=1679211517&s=shoes&sr=1-2733,,,₹517,₹699
Ladies Hub Comfortable Women's Slip-on Casual Mules Shoes & Sandals,women's shoes,Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51Tnr8AljbL._AC_UL320_.jpg,https://www.amazon.in/Ladies-Hub-Comfortable-Sandals-Numeric_7/dp/B0BMYL9NYJ/ref=sr_1_2734?qid=1679211517&s=shoes&sr=1-2734,4.2,83,₹799,"₹2,199"
BUCIK Women's Multi Synthetic Leather Lace-Up Sport Shoe,women's shoes,Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61GO9eXn8FL._AC_UL320_.jpg,https://www.amazon.in/BUCIK-Womens-Synthetic-Leather-Lace-Up/dp/B0BFFCG4VQ/ref=sr_1_2735?qid=1679211517&s=shoes&sr=1-2735,,,₹629,"₹1,999"
Shoeshion Women's Embroidered Slip On Flip Flop Ethnic Flats Chappal,women's shoes,Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71ZrY4TBeML._AC_UL320_.jpg,https://www.amazon.in/Shoeshion-Womens-Embroidered-Chappal-numeric_8/dp/B0BB9RLVDR/ref=sr_1_2736?qid=1679211517&s=shoes&sr=1-2736,4.0,12,₹699,"₹2,099"
Fusefit Women's Erina Walking Shoe,women's shoes,Shoes,https://m.media-amazon.com/images/I/7142lHLiZVL._AC_UL320_.jpg,https://www.amazon.in/Fusefit-FFR-889-Women-Walking-Shoe-ERINA-Black-Grey-6/dp/B09BXN87Q4/ref=sr_1_2881?qid=1679211519&s=shoes&sr=1-2881,3.7,83,₹359,"₹1,799"
crocs womens Tulum Sandal,women's shoes,Shoes,https://m.media-amazon.com/images/I/611BS98vLdL._AC_UL320_.jpg,https://www.amazon.in/Crocs-Womens-Strappy-Sandal-206753-00W/dp/B097752XH8/ref=sr_1_2882?qid=1679211519&s=shoes&sr=1-2882,,,"₹2,619","₹3,495"
Khadim's Women's Fashion Sandal,women's shoes,Shoes,https://m.media-amazon.com/images/I/61j9fL9f1xL._AC_UL320_.jpg,https://www.amazon.in/Khadims-Womens-Red-Fashion-Sandal/dp/B085TCPGYZ/ref=sr_1_2883?qid=1679211519&s=shoes&sr=1-2883,4.0,44,₹489,₹499
FLITE Women Slippers/Sandals/Adjustable Fashion Sandals/PU Slippers no.7,women's shoes,Shoes,https://m.media-amazon.com/images/I/41SthyNfL0L._AC_UL320_.jpg,https://www.amazon.in/FLITE-Slippers-Sandals-Adjustable-Fashion/dp/B09ZSN48FQ/ref=sr_1_2884?qid=1679211519&s=shoes&sr=1-2884,4.6,27,₹349,₹499
"Shopidity Casual Ethnic wear Stylish Slides, Slippers & Flip Flop for Womens Gril's and Ladies Designer Comfortable Fancy ...",women's shoes,Shoes,https://m.media-amazon.com/images/I/61DY+9mFr1L._AC_UL320_.jpg,https://www.amazon.in/Shopidity-Stylish-Slippers-Designer-Comfortable/dp/B09DVPH9T2/ref=sr_1_2885?qid=1679211519&s=shoes&sr=1-2885,3.6,15,₹448,₹699
Liberty Women VERGO-011 Casual Slippers,women's shoes,Shoes,https://m.media-amazon.com/images/I/61cHEZhCTVL._AC_UL320_.jpg,https://www.amazon.in/Topp-Liberty-Womens-Pink-Slippers/dp/B00TPCKZCW/ref=sr_1_2886?qid=1679211519&s=shoes&sr=1-2886,4.5,11,₹341,₹449
"PUB-54 LADIES 7,BLACK BLACK",women's shoes,Shoes,https://m.media-amazon.com/images/I/810UVwyxjXL._AC_UL320_.jpg,https://www.amazon.in/PUB-54-LADIES-7-BLACK/dp/B0BFJ6BWJV/ref=sr_1_2887?qid=1679211519&s=shoes&sr=1-2887,3.5,3,₹427,₹449.50
Fashion Box Women's Belly,women's shoes,Shoes,https://m.media-amazon.com/images/I/611ugfcQQhL._AC_UL320_.jpg,https://www.amazon.in/Fashion-Box-Classic-Traditional-Bellies/dp/B08J88JRFL/ref=sr_1_2888?qid=1679211519&s=shoes&sr=1-2888,3.3,122,₹549,₹999
Mochi Women's Synthetic Sandals (31-5065),women's shoes,Shoes,https://m.media-amazon.com/images/I/61DTgpvdjsL._AC_UL320_.jpg,https://www.amazon.in/Mochi-Womens-Synthetic-Sandals-31-5065/dp/B09QLHBK6X/ref=sr_1_2889?qid=1679211519&s=shoes&sr=1-2889,3.8,50,"₹1,095","₹1,990"
Pampy Angel Fly Net Stripes Women's Flip Flops Slides Back Open Household Comfortable Slippers,women's shoes,Shoes,https://m.media-amazon.com/images/I/71G2lfKF3lL._AC_UL320_.jpg,https://www.amazon.in/Pampy-Angel-Household-Comfortable-Slippers/dp/B09MD81J3Q/ref=sr_1_2890?qid=1679211519&s=shoes&sr=1-2890,3.1,52,₹299,₹799
Liberty womens Wagas-20 Slipper,women's shoes,Shoes,https://m.media-amazon.com/images/I/71TvDBlW7SS._AC_UL320_.jpg,https://www.amazon.in/Liberty-Wagas-20-Casual-Slippers-21890261/dp/B091L7Q3JY/ref=sr_1_2891?qid=1679211519&s=shoes&sr=1-2891,2.9,8,₹759,₹999
Skechers Womens Ultra Groove Sneaker,women's shoes,Shoes,https://m.media-amazon.com/images/I/71CwPnDsUdL._AC_UL320_.jpg,https://www.amazon.in/Skechers-Womens-Ultra-Groove-Sneaker/dp/B07TWJ1G7M/ref=sr_1_2892?qid=1679211519&s=shoes&sr=1-2892,4.2,918,"₹3,249","₹6,499"
Shoetokia Women Casual Stylish Bellies (OST499),women's shoes,Shoes,https://m.media-amazon.com/images/I/61Qqnz7GKeL._AC_UL320_.jpg,https://www.amazon.in/Shoetokia-Casual-Stylish-Bellies-OST499/dp/B09FLJZM7H/ref=sr_1_2893?qid=1679211519&s=shoes&sr=1-2893,4.2,3,₹349,₹999
CatBird Women’s Lace Work Ethnic Shoes Traditional Mojari Punjabi Jutti,women's shoes,Shoes,https://m.media-amazon.com/images/I/71k7rkgVV+L._AC_UL320_.jpg,https://www.amazon.in/CatBird-Womens-Handmade-Punjabi-Traditional/dp/B09D9HPM2Q/ref=sr_1_2894?qid=1679211519&s=shoes&sr=1-2894,4.1,51,₹699,₹999
Puma Women's Kosmo Rider WNS White-Fizzy Lime Sneaker-6 UK (38311301),women's shoes,Shoes,https://m.media-amazon.com/images/I/51yUdpdSs7L._AC_UL320_.jpg,https://www.amazon.in/Puma-Womens-White-Fizzy-Shoes-6-38311301/dp/B09P1M1QKZ/ref=sr_1_2895?qid=1679211519&s=shoes&sr=1-2895,5.0,1,"₹3,199","₹7,999"
BATA Womens Elastic E Sneaker,women's shoes,Shoes,https://m.media-amazon.com/images/I/71E2pjzKbEL._AC_UL320_.jpg,https://www.amazon.in/BATA-Women-Elastic-Flats-5519182/dp/B09ZYM3QNV/ref=sr_1_2896?qid=1679211519&s=shoes&sr=1-2896,3.3,5,₹472.17,₹949
perfect step Women's Peep Toes Comfprtable Casual Lace up Sandal - Tan,women's shoes,Shoes,https://m.media-amazon.com/images/I/71OwZc630eL._AC_UL320_.jpg,https://www.amazon.in/Perfect-Choice-Womens-Synthetic-Sandals/dp/B078S6NWC4/ref=sr_1_2897?qid=1679211519&s=shoes&sr=1-2897,3.9,"1,340",₹499,₹999
"STRASSE PARIS Women's Boots | Synthetic Leather,Stylish, Trendy, Comfortable,Long Ankle Double Chain Lace Up Boots for Wom...",women's shoes,Shoes,https://m.media-amazon.com/images/I/61LPgzT-2yL._AC_UL320_.jpg,https://www.amazon.in/STRASSE-PARIS-Black-Boots-Comfortable/dp/B0BKY2PQ35/ref=sr_1_2898?qid=1679211519&s=shoes&sr=1-2898,3.6,14,₹799,"₹1,699"
Liberty Force 10 Sports Shoes for Women's,women's shoes,Shoes,https://m.media-amazon.com/images/I/61RsNAV0kjL._AC_UL320_.jpg,https://www.amazon.in/Liberty-Force-Sports-Shoes-Womens/dp/B0BHZRKDJ3/ref=sr_1_2899?qid=1679211519&s=shoes&sr=1-2899,,,,"₹1,499"
WALKAROO womens Sandals Slide Sandal,women's shoes,Shoes,https://m.media-amazon.com/images/I/61bkAKipx2L._AC_UL320_.jpg,https://www.amazon.in/Walkaroo-Ladies-Midnight-Sandal-WL7425/dp/B0B7NJR4YW/ref=sr_1_2900?qid=1679211519&s=shoes&sr=1-2900,4.0,4,₹293,₹329
Reebok Mens Zig Dynamica 3.0 Running Shoe,women's shoes,Shoes,https://m.media-amazon.com/images/I/71PyO5gkPqL._AC_UL320_.jpg,https://www.amazon.in/Reebok-Womens-Black-Dynamica-Running/dp/B09MMDVVG5/ref=sr_1_2901?qid=1679211519&s=shoes&sr=1-2901,4.6,3,"₹4,663","₹8,999"
CASSIEY Fashionable Comfortable Stylish Design Slip-on Flat Sandal For Women's And Girls,women's shoes,Shoes,https://m.media-amazon.com/images/I/91RGZPzh4EL._AC_UL320_.jpg,https://www.amazon.in/CASSIEY-Fashionable-Comfortable-Stylish-Design/dp/B09J2D8QQ8/ref=sr_1_2902?qid=1679211519&s=shoes&sr=1-2902,3.7,245,₹399,₹499
